"CNT","SUBNATIO","STRATUM","OECD","NC","SCHOOLID","SC01Q01","SC02Q01","SC02Q02","SC02Q03","SC02Q04","SC03Q01","SC04Q01","SC05Q01","SC07Q01","SC07Q02","SC09Q11","SC09Q12","SC09Q21","SC09Q22","SC09Q31","SC09Q32","SC10Q11","SC10Q12","SC10Q61","SC10Q62","SC10Q21","SC10Q22","SC10Q41","SC10Q42","SC10Q51","SC10Q52","SC11Q01","SC11Q02","SC11Q03","SC13Q01","SC13Q02","SC13Q03","SC14Q01","SC14Q02","SC14Q03","SC14Q04","SC14Q05","SC14Q06","SC14Q07","SC14Q08","SC14Q09","SC14Q10","SC14Q11","SC14Q12","SC14Q13","SC15Q01","SC15Q02","SC15Q03","SC15Q04","SC16Q01","SC16Q02","SC16Q03","SC16Q04","SC16Q05","SC16Q06","SC16Q07","SC16Q08","SC16Q09","SC16Q10","SC16Q11","SC18Q01","SC18Q02","SC18Q03","SC18Q04","SC18Q05","SC18Q06","SC18Q07","SC18Q08","SC19Q01","SC19Q02","SC20Q01","SC21Q05","SC22Q01","SC22Q02","SC22Q03","SC22Q04","SC22Q05","SC22Q06","SC22Q07","SC22Q08","SC22Q09","SC22Q10","SC22Q11","SC22Q12","SC22Q13","SC22Q14","SC22Q15","SC22Q16","SC22Q17","SC22Q18","SC22Q19","SC23Q01","SC24Q01","SC25Q01","SC25Q02","SC25Q03","SC25Q04","SC25Q05","SC25Q06","SC25Q07","SC25Q08","SC25Q09","SC25Q10","SC25Q11","SC25Q12","SC26Q01","SC26Q02","SC26Q03","SC26Q04","SC27Q01","SC27Q02","SC28Q01","SC28Q02","SC29Q01","SC29Q02","SC30Q01","SC30Q02","SC30Q03","SC30Q04","SC31Q01","SC31Q02","SC31Q03","SC31Q04","SC31Q05","SC31Q06","SC31Q07","SC32Q01","SC32Q03","SC32Q04","SC32Q05","SC32Q06","SC32Q07","SC32Q08","SC33Q01A","SC33Q01B","SC33Q01C","SC33Q01D","SC33Q01E","SC33Q02A","SC33Q02B","SC33Q02C","SC33Q02D","SC33Q02E","SC33Q03A","SC33Q03B","SC33Q03C","SC33Q03D","SC33Q03E","SC33Q04A","SC33Q04B","SC33Q04C","SC33Q04D","SC33Q04E","SC33Q05A","SC33Q05B","SC33Q05C","SC33Q05D","SC33Q05E","SC33Q06A","SC33Q06B","SC33Q06C","SC33Q06D","SC33Q06E","SC33Q07A","SC33Q07B","SC33Q07C","SC33Q07D","SC33Q07E","SC33Q08A","SC33Q08B","SC33Q08C","SC33Q08D","SC33Q08E","SC33Q09A","SC33Q09B","SC33Q09C","SC33Q09D","SC33Q09E","SC33Q10A","SC33Q10B","SC33Q10C","SC33Q10D","SC33Q10E","SC33Q11A","SC33Q11B","SC33Q11C","SC33Q11D","SC33Q11E","SC33Q12A","SC33Q12B","SC33Q12C","SC33Q12D","SC33Q12E","SC34Q01","SC34Q02","SC34Q03","SC34Q04","SC34Q05","SC34Q06","SC34Q07","SC34Q08","SC34Q09","SC34Q10","SC34Q11","SC34Q12","SC34Q13","SC34Q14","SC34Q15","SC34Q16","SC34Q17","SC34Q18","SC34Q19","SC34Q20","SC34Q22","SC35Q01","SC35Q02","SC39Q01","SC39Q02","SC39Q03","SC39Q05","SC39Q06","SC39Q07","SC39Q08","SC39Q09","SC39Q10","SC40Q01","SC40Q02","SC40Q03","SC44Q01","SC44Q02","SC44Q03","SC44Q04","SC44Q05","SC44Q06","SC47Q01","SC45Q01","SC46Q01","SC46Q02","SC46Q03","SC46Q05","SC46Q04","SC46Q06","SC46Q09","SC52Q01","SC46Q07","SC46Q08","SC52Q02","SC51Q01","SC51Q02","ABGMATH","ASSESS","CLSIZE","COMPWEB","CREACTIV","LEADCOM","LEADINST","LEADPD","LEADTCH","MACTIV","MATHEXC","PCGIRLS","PROPCERT","PROPMA5A","PROPMATH","PROPQUAL","RATCMP15","RESPCUR","RESPRES","SCHAUTON","SCHLTYPE","SCHSEL","SCHSIZE","SCMATBUI","SCMATEDU","SMRATIO","STRATIO","STUDCLIM","TCFOCST","TCHPARTI","TCMORALE","TCSHORT","TEACCLIM","W_FSCHWT","SENWGT_SCQ","VER_SCQ"
"JPN",3920000,"JPN0101",1,39200,1,1,100,0,0,0,4,1,6,438,517,56,19,56,19,56,19,10,3,10,3,9997,9997,9997,9997,9997,9997,320,83,83,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,2,1,1,1,1,2,1,2,1,1,1,2,1,1,2,1,1,1,1,2,2,2,1,3,1,1,2,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,0,1,2,100,2,100,20,20,0,0,0,5,0,9997,1,1,1,1,2,3,1,2,2,3,1,1,1,1,1,1,1,1,1,3,4,3,2,1,2,1,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,5,2,6,5,6,3,6,2,4,6,6,5,5,5,4,4,5,4,4,4,3,2,8,1,1,1,1,1,2,1,2,1,1,1,1,2,1,1,1,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9999,9999,2,6,38,1,3,0.8948,0.0432,0.3739,1.6033,4,3,0.541,1,9997,0.176,1,0.259,1.44,-0.8,-0.8313,3,3,955,1.3052,1.976,83.043,14.58,1.1879,0.0095,-1.8472,1.4452,-1.0911,1.9386,19.6175,2.786,"28NOV13"
"JPN",3920000,"JPN0202",1,39200,2,1,100,0,0,0,3,2,4,128,171,34,2,34,2,34,2,2,0,2,0,9997,9997,9997,9997,9997,9997,87,168,168,1,1,2,1,1,1,2,1,3,1,1,1,2,1,1,1,3,3,3,1,1,1,2,1,2,2,2,1,1,1,2,1,1,1,2,1,2,1,2,2,2,2,9,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,0,0,0,30,0,0,0,0,0,0,9997,1,1,1,1,2,3,2,2,2,2,2,1,1,2,1,1,3,1,3,3,3,3,1,1,3,1,1,1,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,3,3,3,3,3,3,4,3,4,4,4,4,4,3,3,3,3,3,4,3,3,0,0,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,1,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9999,9999,1,5,28,1,3,-0.3532,-0.5037,-0.3717,0.2118,1,9,0.572,1,9997,0.057,1,1.931,-0.81,-0.77,-0.3533,3,3,299,1.3052,0.4606,149.5,8.543,0.3493,0.0095,-1.8472,1.4452,-0.2817,2.8533,51.89,7.3693,"28NOV13"
"JPN",3920000,"JPN0101",1,39200,3,1,53,1,46,0,4,1,6,329,268,51,3,51,3,51,3,8,0,8,0,9997,9997,9997,9997,9997,9997,200,42,42,2,2,4,1,1,1,1,1,1,1,1,2,1,1,1,1,3,3,3,1,1,2,2,1,2,2,2,2,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,2,2,3,3,2,2,1,2,2,2,3,1,2,3,1,2,2,2,2,0,1,2,100,2,100,0,2,0,0,0,30,5,9997,1,1,2,1,3,3,2,3,3,2,2,1,1,2,1,1,2,1,1,1,1,3,1,2,3,1,1,1,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,3,1,2,2,2,2,4,2,4,2,3,2,3,2,3,2,3,2,5,3,2,3,25,1,2,2,1,1,1,1,2,1,2,1,1,2,1,2,1,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9999,9999,1,8,38,1,2,-2.3149,-1.6346,-0.6241,-1.4684,1,2,0.449,1,9997,0.152,1,0.21,1.44,-0.7,-0.6029,3,3,597,1.3052,1.1619,74.625,11.371,-0.3977,-1.7632,-0.1437,0.8541,-1.0911,-0.4382,31.3879,4.4576,"28NOV13"
"JPN",3920000,"JPN0202",1,39200,4,1,100,0,0,0,4,1,6,321,504,63,0,63,0,63,0,9,0,9,0,9997,9997,9997,9997,9997,9997,280,112,112,2,1,5,1,1,1,1,1,1,1,1,1,1,2,3,3,1,3,1,3,1,1,2,1,2,2,2,1,1,1,2,1,1,1,2,2,1,1,2,2,2,1,3,2,2,3,2,2,2,2,2,2,2,3,2,3,3,2,2,3,2,2,0,2,0,0,0,95,0,0,0,0,0,1,0,9997,1,1,2,2,2,3,3,2,3,2,1,1,1,1,2,2,2,2,2,3,3,3,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,3,1,2,2,2,1,2,2,3,2,2,1,2,2,2,2,2,2,2,2,3,0,0,1,2,2,1,1,1,1,2,2,2,1,2,2,1,2,2,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9999,9999,3,5,38,1,3,-2.3149,-2.1357,-1.7186,-2.4317,3,3,0.611,1,9997,0.143,1,0.4,1.44,-0.7,-0.6029,3,3,825,-0.763,1.976,91.667,13.095,-0.3977,-0.6748,-1.8472,0.4686,-1.0911,-1.0394,21.4973,3.053,"28NOV13"
"JPN",3920000,"JPN0101",1,39200,5,1,93,7,0,0,3,1,6,339,364,57,4,57,4,57,4,8,1,8,1,9997,9997,9997,9997,9997,9997,239,80,80,2,1,3,1,1,1,1,2,1,2,1,1,2,2,2,1,2,2,1,3,1,2,2,1,2,2,1,2,1,1,2,1,1,2,2,2,1,1,2,2,2,1,3,1,1,3,2,2,2,1,2,3,3,3,1,3,2,1,3,3,2,3,0,2,4,79,4,79,4,0,0,0,0,0,0,9997,2,2,2,2,1,3,1,2,2,2,1,2,1,2,1,1,2,1,2,3,3,3,2,1,2,1,1,1,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,3,2,2,2,2,3,5,1,2,4,2,4,3,2,3,3,3,2,2,2,6,2,11,1,2,1,1,2,1,1,2,2,2,1,1,2,1,1,1,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9999,9999,2,4,38,1,2,-1.814,-1.6346,-0.8842,-0.3206,2,3,0.518,1,9997,0.144,1,0.335,1.44,-0.7,-0.6029,3,3,703,0.1539,0.4606,82.706,11.915,0.3493,0.702,-1.8472,-0.7371,-1.0911,-1.1788,26.0481,3.6993,"28NOV13"
"JPN",3920000,"JPN0101",1,39200,6,1,100,0,0,0,4,1,6,240,274,98,0,98,0,98,0,12,0,12,0,9997,9997,9997,9997,9997,9997,178,80,80,1,1,3,2,2,2,2,1,1,1,1,2,2,1,1,1,2,3,3,1,1,2,2,1,2,2,1,1,1,1,2,1,1,2,2,1,1,2,2,2,2,1,3,2,2,3,2,2,2,2,2,2,2,3,1,2,3,1,3,2,2,2,1,2,0,1,0,30,10,10,0,0,0,1,1,9997,2,2,3,3,3,2,3,3,3,3,1,2,1,2,3,3,1,2,1,2,3,3,2,1,2,1,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,2,2,2,4,2,2,2,3,2,3,1,1,1,3,1,2,2,3,2,2,2,5,2,2,0,0,1,2,1,1,1,1,1,2,2,2,1,1,2,1,2,1,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9999,9999,2,4,38,1,2,-1.814,-1.6346,-2.0431,-2.4317,3,3,0.533,1,9997,0.122,1,0.449,1.44,-0.8,-0.8313,3,3,514,1.3052,0.7524,42.833,5.245,-0.3977,-1.7632,-0.5646,-1.8308,0.7093,-0.5953,41.5734,5.9042,"28NOV13"
"JPN",3920000,"JPN0203",1,39200,7,2,30,60,2,8,4,1,5,482,340,75,36,75,36,75,36,8,5,8,5,9997,9997,9997,9997,9997,9997,269,176,176,3,3,5,1,1,1,1,2,2,1,1,2,2,1,1,1,2,2,3,2,1,1,2,1,2,2,2,2,1,1,2,1,1,2,1,2,1,1,2,2,2,1,3,2,2,3,2,2,2,1,2,3,3,3,2,3,3,2,2,2,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0,9997,2,2,2,3,2,2,2,2,2,2,1,2,2,2,2,2,3,3,2,3,3,2,1,1,2,2,1,1,1,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,1,1,2,2,2,1,1,2,2,2,1,1,1,2,2,1,1,2,2,2,1,1,2,2,2,2,1,2,2,2,3,2,2,2,3,2,3,2,3,2,3,2,3,1,2,1,3,2,5,2,3,2,15,1,2,2,1,2,1,1,2,2,2,2,2,2,1,2,2,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9999,9999,2,5,33,1,3,-2.3149,-1.2063,-1.1508,-1.4684,2,3,0.414,1,9997,0.113,1,0.654,1.44,0.15,1.6038,1,2,822,1.3052,0.224,78.286,8.839,-0.1621,0.0095,1.2429,-1.4838,-1.0911,-1.4467,27.8601,3.9566,"28NOV13"
"JPN",3920000,"JPN0101",1,39200,8,1,100,0,0,0,3,1,6,254,336,45,6,45,5,45,5,5,0,5,0,9997,9997,9997,9997,9997,9997,202,41,41,2,1,4,2,1,1,2,1,1,1,1,1,1,2,2,2,3,3,3,1,1,2,2,1,2,2,2,2,1,1,2,1,1,1,1,1,1,1,2,2,2,1,3,3,3,3,3,2,2,2,2,3,3,3,1,2,3,2,3,2,2,2,0,2,0,100,0,100,100,100,5,0,1,2,5,9997,2,2,2,2,3,2,3,3,3,2,1,1,1,2,2,2,2,2,3,3,2,3,1,1,3,1,1,1,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,5,3,3,3,2,3,3,3,4,3,3,3,3,3,2,3,3,5,4,3,3,4,40,1,2,1,1,1,1,1,2,1,2,1,1,1,1,1,2,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9999,9999,1,7,38,1,2,-0.3532,-0.8328,-0.8842,-0.6535,2,3,0.569,0.99,9997,0.104,0.99,0.203,1.44,-0.7,-0.6029,3,3,590,-0.1662,1.976,118,12.292,-1.0211,-1.7632,-1.8472,-0.7371,0.1524,-1.0394,29.3464,4.1677,"28NOV13"
"JPN",3920000,"JPN0101",1,39200,9,1,100,0,0,0,4,1,6,312,285,44,5,44,5,44,5,6,1,6,1,9997,9997,9997,9997,9997,9997,203,40,40,2,3,3,2,2,1,2,2,1,2,3,2,2,1,2,1,2,3,1,3,1,2,2,1,2,2,2,2,1,1,2,1,2,1,2,1,1,1,2,2,2,1,3,2,2,2,3,2,2,1,2,3,3,4,1,2,3,1,2,2,2,2,1,3,5,90,5,90,0,5,0,0,0,1,0,9997,2,2,2,2,2,3,3,2,2,3,2,1,1,2,1,1,3,3,2,4,3,3,2,1,2,1,1,1,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,1,2,2,2,2,4,2,3,3,2,3,3,3,6,4,3,2,6,2,2,3,2,4,4,3,3,8,57,1,1,1,1,1,1,1,2,2,2,2,1,2,1,2,1,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9999,9999,2,5,38,1,2,-0.9829,-0.8328,0.3739,-0.6535,2,3,0.477,1,9997,0.14,1,0.197,0.87,-0.7,-0.6029,3,3,597,0.5582,-0.1702,91.846,12.839,-0.1621,0.0095,-1.8472,-0.7371,0.4567,-0.8958,24.7573,3.516,"28NOV13"
"JPN",3920000,"JPN0202",1,39200,10,1,100,0,0,0,4,3,6,287,185,60,3,60,3,60,3,2,1,2,1,9997,9997,9997,9997,9997,9997,164,84,84,1,2,3,4,3,1,3,3,1,1,1,3,3,3,4,4,2,3,3,2,2,2,2,1,2,2,2,1,2,1,2,1,1,2,2,2,1,2,2,2,2,2,9,2,1,2,1,2,1,2,2,1,2,3,1,2,2,1,2,3,2,2,2,2,0,81,0,81,5,0,0,0,0,12,14,9997,2,2,2,3,3,2,3,2,3,2,1,2,1,2,1,1,2,2,2,2,3,3,1,1,2,1,1,1,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,3,2,3,3,3,3,5,4,4,4,4,3,4,3,2,1,2,2,4,2,3,6,100,1,1,1,1,1,1,1,2,2,2,1,1,2,1,2,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9999,9999,2,3,38,1,0,-0.6467,-0.2137,-0.1263,-0.0388,1,9,0.392,1,9997,0.041,1,0.512,1.44,-0.7,-0.6029,3,3,472,-1.9349,-0.1702,188.8,7.675,0.6173,-1.2132,0.7801,-1.4838,1.4526,-0.2762,36.7027,5.2124,"28NOV13"
